asin,itemid,brand,main_cat
B01CPNIEQG,37138,Primal Palate Organic Spices,Grocery
B006F63M8U,17322,Swiss Miss,Grocery
B00112O8NG,5600,Torani,Grocery
B00MRAQUM8,30249,Frontier,Grocery
B000R7RN0G,4349,Miss Vickie's,Grocery
B0009F3PM6,931,Traditional Medicinals,Grocery
B005HGOIQ4,15992,Madhava,Grocery
B000WG7M76,5034,Reese's,Grocery
B00117YT4Y,5629,Designer Protein,Health & Personal Care
B0146RYG02,35087,Kinder,Grocery
B00E0C6DMI,24317,Choice Organic Teas,Grocery
B000VZU1KS,4989,Jane's Krazy,Grocery
B00MBVD5DA,29984,Indus Organics,Grocery
B01A2MI28W,36457,Briceo Coffee,Office Products
B000EDK774,1552,Bob's Red Mill,Grocery
B00ASD2F8O,20965,Kirkland Signature,Grocery
B00284TTG2,10287,SToK,Grocery
B0014C3QVS,6048,Jolly Rancher,Grocery
B000WLGCPY,5091,Bob's Red Mill,Grocery
B002L46PS4,10893,Diedrich Coffee,Grocery
B00RN8GW2M,32145,Coffee People,Grocery
B003P00OSK,11863,Talking Rain,Grocery
B000CQG8MQ,1254,Stash Tea,Grocery
B01BNVYKVE,36857,L.R. Rice,Grocery
B00A66V3UE,20473,Amoretti,Grocery
B000F4DKAI,1919,Twinings,Grocery
B000OQU4DI,3926,Harney & Sons,Grocery
B00FR6XSUG,25758,Barilla,Grocery
B00XA8XWGS,33788,Twinings,Grocery
B0014ET1S8,6121,V8,Grocery
B00BXR3WLS,22335,Hoosier Hill Farm,Grocery
B0069VO1G8,17202,Snack Pack,Grocery
B0014DYBKM,6085,Starburst,Grocery
B00C1W77X8,22413,Glutino,Grocery
B00N0JHZ5G,30383,Two Rivers LLC,Grocery
B000ILK9PM,2842,Kernel Season's,Grocery
B000VK47D0,4926,McCann's,Grocery
B001EO5XRQ,7902,Unknown,Grocery
B0058AN1N0,15365,Nutiva,Grocery
B0006ZWUSY,815,Oregon's Wild Harvest,Health & Personal Care
B006684PPQ,17128,Domino,Grocery
B00BUKL666,22208,KIND,Grocery
B000SANSSS,4555,Davidson's Tea,Grocery
B00VXQFY60,33457,Lance,Grocery
B004CUCQQK,13245,Hawaiian Host,Grocery
B000F0FVRC,1868,Bearitos,Grocery
B000H2XXRS,2534,Nutiva,Grocery
B002AR14WO,10534,Numi Organic Tea,Grocery
B0059JXK2M,15431,Casey Ann's Candies,Grocery
B0014CQDZ4,6053,Crystal Light,Grocery
B01G2YLSPI,37969,Honest Raw Honey,Grocery
B01E0OMXOC,37449,Royal Dates,Grocery
B001KTA03C,8894,Green Mountain Coffee Roasters,Grocery
B01EFYS9FE,37555,CalPure,Grocery
B000AY9VCE,1043,Nutri-Grain,Grocery
B00FE6PXA2,25456,Brown and Haley,Grocery
B000X3TPHS,5195,YumEarth,Grocery
B00G6I14Y6,26060,Zombie Cajun,Grocery
B006IOKA9S,17420,SAN FRANCISCO BAY,Grocery
B005JD3YV0,16141,Claeys,Grocery
B00PXRX5TI,31690,Organic Wise,Grocery
B00EQ4YJMQ,24889,Dandies,Grocery
B009XAAYLS,20271,Denver Spice,Grocery
B006CFEPEO,17264,Combos,Grocery
B000H25VVO,2511,SAPPORO,Grocery
B004CYJXQW,13252,Special K,Grocery
B004T36IFK,14204,Frontier,Grocery
B001EQ5SFG,8206,Wyler's Light,Grocery
B001DCEFSC,7253,Sunshine,Grocery
B00QU6TU40,31936,Nick's Sticks,Grocery
B0029JLU2C,10404,M&M's,Grocery
B001M09BHU,9085,Quaker,Grocery
B004VLVQHK,14440,Bob's Red Mill,Grocery
B000EDI1CW,1540,Bob's Red Mill,Grocery
B008YFWH3G,19527,Hoosier Hill Farm,Grocery
B013DSZFIW,34922,Kirkland Signature,Grocery
B000YQSHW8,6841,Cascadian Farm,Grocery
B005CW3MB0,15656,Essential Depot,Health & Personal Care
B005T1302A,16605,Glacau,Grocery
B0036AWD8I,11336,Mystic Chai,Grocery
B013IG9KVW,34947,Stacy's,Grocery
B003ZXCAAC,12312,Pop-Tarts,Grocery
B00099XOQO,918,Knorr,Grocery
B016NBKRBQ,35700,Coconut Secret,Grocery
B003ULFXWQ,12059,Numi Organic Tea,Grocery
B00PV09OD8,31667,Scottie Dogs,Grocery
B00KLE7TEU,29000,Sincerely Nuts,Grocery
B000OZIE2C,3949,Spicy World,Grocery
B00FTEWQSQ,25854,Augason Farms,Sports & Outdoors
B00H8WI46U,26753,Hormel,Grocery
B00DCIRIPM,23754,Natierra,Grocery
B003V5HEXC,12078,Teeccino,Grocery
B017J2XV6G,35923,Sincerely Nuts,Grocery
B0025VQCEA,10118,Cattlemen's,Grocery
B004LKDDXQ,13776,Jeannie,Grocery
B000BD0SDU,1101,REDMOND,Grocery
B001OI3RS4,9294,Celestial Seasonings,Grocery
B00HK4AN74,26909,Hall's Candies,Grocery
B002GWHA62,10796,Coffee Bean Direct,Grocery
B00EIJ5MA2,24743,Tea Beyond,Amazon Home
B000YV0VUE,5430,Pearson's,Grocery
B001F79MMY,8347,Dave's Killer Bread,Grocery
B0131A6FJA,34884,Fusionroaster75,Grocery
B00OSL0LQA,31251,Healthworks,Grocery
B00MJ5OI8O,30127,Keurig,Grocery
B00RW0MZ6S,32178,Planters,Grocery
B019PDYP7Q,36394,Trim Healthy Mama,Grocery
B0027Z5J6G,10264,Kicking Horse Coffee,Grocery
B01CMZC6IO,37109,SmartBUN,Grocery
B00EQA93OY,24891,GERBS,Grocery
B009SZ0XHI,20232,Island Treasures Gourmet,Grocery
B0014EQI4I,6140,Campbell's,Grocery
B000FRSSFC,2250,Bio Nutritional,Health & Personal Care
B00G9AQM16,26102,Wise,Grocery
B00CLLV2X0,23023,WellBee Foods,Grocery
B000IBODHC,2789,Summit Tea Company,Grocery
B000Y8Y5F4,5281,Ferrero,Grocery
B012NC1KBK,34840,Martinson,Grocery
B01G3MRTUM,37982,Whole Earth Sweetener Company,Grocery
B001EO5UTM,7711,Zoe,Grocery
B000S75D66,4543,Illy,Grocery
B00AZW16QA,21165,Nescaf,Grocery
B00XABKAWY,33792,Planters,Grocery
B002BERUGA,10581,McKay's,Grocery
B012J84N8A,34832,Kit Kat,Grocery
B008MOMYRI,19354,Nature's Way,Health & Personal Care
B004XC9UWK,14614,Keurig,Grocery
B00Q6AJRFC,31759,Select by Trump,Grocery
B00CLLV2D0,23022,Wellbee's,Grocery
B004W8LT10,14516,Gold Medal Prod.,Grocery
B000WHZDEY,5062,McCormick,Grocery
B006K3RCPC,17482,La Tourangelle,Grocery
B0010SEVWO,5562,Food to Live,Grocery
B0000GHNV8,149,El Yucateco,Grocery
B00CNI492M,23118,New Grains Gluten Free Bakery,Grocery
B003VY9HLU,12114,Thai Kitchen,Grocery
B0018QLG9Y,6745,Carr's,Grocery
B01E5XTW24,37468,Green Mountain Coffee Roasters,Grocery
B00ZK6FXPG,34300,Zevia,Grocery
B0062JDADW,16971,First Colony,Grocery
B007PA34CE,18764,Keurig,Grocery
B001SB291S,9659,Medaglia D'Oro,Grocery
B001LQRKC8,9036,Rumford,Grocery
B00K2RYG6K,28653,Custom Variety Pack,Grocery
B000MHHDVK,3548,Blue Diamond Almonds,Grocery
B002863BIW,10294,Bragg,Grocery
B00C0TE6Z4,22376,Maskal Teff,Grocery
B001TH9PJK,9699,Mentos,Grocery
B00J4LCQOE,28036,Branston,Grocery
B003BQH3DC,11494,Schwartz,Grocery
B0009F3QKW,936,Yogi,Grocery
B00FEQV2A2,25466,Terrasoul Superfoods,Grocery
B000PGSL5K,4093,Harney & Sons,Grocery
B000YPMKXQ,5358,Quaker,Grocery
B006R0Q8TE,17691,Raven's Brew Coffee,Grocery
B002OAOADW,10979,Hidden Valley,Grocery
B000R75X4E,4345,Muir Glen,Grocery
B00ISMP3YA,27818,McCormick,Grocery
B000E1FZHS,1378,Planters,Grocery
B000WR4SGI,5145,Simply Organic,Grocery
B00NX78GRQ,30893,bai,Grocery
B00M8YEY6C,29923,Gold Medal,Grocery
B001E52VR0,7354,Crystal Light,Grocery
B01DO0BFN8,37356,Cento,Grocery
B007B9WAPQ,18350,Lipton,Grocery
B001VNGJX2,9839,Frontier,Grocery
B00Y0UWN1K,34004,Dr. McDougall's Right Foods,Grocery
B00474ASJI,12809,Tully's Coffee,Grocery
B0071F83KQ,17976,Albanese Confectionery,Grocery
B017V1ZFQ4,36004,ChestBrew,Grocery
B00JJ52WKI,28282,Black Tie Mercantile,Grocery
B000VSDCH4,4975,Indomie,Grocery
B00EWJ8V0Q,25011,Bart's Bakery,Grocery
B0068ZXH06,17183,Eight O'Clock Coffee,Grocery
B0045IO2VQ,12640,Caf Escapes,Grocery
B003SWMZ28,11987,Sukhi's Gourmet Indian Foods,Grocery
B0014WYXYW,6218,Izze,Grocery
B00K00H9I6,28593,Canadian Finest,Grocery
B010U0BO6S,34545,Custom Varietea,Grocery
B00B6T9654,21423,Better Than Bouillon,Grocery
B000EVMNMI,1780,Haribo,Grocery
B00SSC6BZU,32417,Happy Valley Honey,Grocery
B00FDM87IW,25434,Wild Planet,Grocery
B00C3YAH5E,22512,Pringles,Grocery
B0017ZAJL2,6680,Big cookie,Grocery
B00LCMBATU,29494,Hula Girl,Grocery
B00LY3TBJS,29770,MARTIN'S,Grocery
B003ZJL8H2,39406,Udi's,Grocery
B000WSK5N2,5170,NOW Foods,Grocery
B00TKE2E60,32655,Fresh Roasted Coffee,Grocery
B0015MGC1I,6323,Lavazza,Grocery
B00NY3LRHK,30900,Birch Benders,Grocery
B0004JR8SE,626,Postum,Grocery
B00119RNR2,5641,Better Than Bouillon,Grocery
B00KFP63XS,28904,Belvita,Grocery
B00MEJSURK,30008,Plymouth Pantry Almond Bark,Grocery
B00HQDVRU6,26993,Kettle Brand,Grocery
B00BLTKUJ0,21949,Anna and Sarah,Grocery
B00ELPSOXU,24821,Fresh Roasted Coffee,Grocery
B005A1LG7K,15449,G.H. Cretors,Grocery
B003WEC9PU,12126,Jolly Rancher,Grocery
B00FGR4OI6,25524,Tiptree,Grocery
B004YADQZI,14723,Twinings,Grocery
B00U9RIYBQ,32901,Uncle Lee's,Health & Personal Care
B008GWOFTG,19303,Ragu,Grocery
B00EHZ5M6Q,24732,Lavazza,Grocery
B00AE1NW28,20637,Cheez-It,Grocery
B00X65J4AI,33762,Starbucks,Grocery
B001P76XH6,9328,Pop Secret,Grocery
B007KTFY2S,18665,Gloria Jean's,Grocery
B00N14ZDDQ,30389,bai,Grocery
B003V8Y5F4,12083,Popcorners,Grocery
B001E8DHPW,7593,Nutiva,Grocery
B00H9M2SCA,26771,Lance,Grocery
B00D6EUULG,23608,Bumble Bee,Grocery
B001M0A5XY,9082,Ambrosia,Grocery
B007A0TTKU,18295,Nonni's,Grocery
B000WKXTNS,5095,Twizzlers,Grocery
B001ONRO3S,9305,Cheez-It,Grocery
B003VXFK44,12113,Wolfgang Puck,Grocery
B00KSN9TME,29237,KIND,Grocery
B001O1Q0NA,9256,The Spice Lab,Grocery
B000V937YQ,4837,Blow Pops,Grocery
B001QY4SH0,9453,Tortuga,Grocery
B01BZV81H6,36966,Amazon,Grocery
B00W4AY9BA,33494,Anthony's,Grocery
B000KG9Q2C,3071,Davidson's Tea,Grocery
B000CR41MO,1279,Newman's Own,Grocery
B00408268C,12347,Oreo,Grocery
B00338DSQ4,11285,Barilla,Grocery
B005BPVE3G,15516,Apure Foods,Grocery
B00OEQ8L8E,31127,Jovial,Grocery
B000LKU59A,3185,Santa Barbara Olive Co.,Grocery
B00407GA6M,12348,Fun Express,Toys & Games
B001E95KOW,7603,Mighty Leaf Tea,Grocery
B01EAG3VZA,37527,Frito Lay,Grocery
B002GWH92W,10798,Coffee Bean Direct,Grocery
B0150XJY5I,35286,Karma,Grocery
B00CS6BJ9K,23297,Coris,Grocery
B01GOVILFE,38123,SPAM,Grocery
B000OUX2QA,3940,Zamouri Spices,Grocery
B00BHISYSE,21774,Idahoan,Grocery
B005ISUOEQ,16108,Chimes,Grocery
B001EO5Y8Y,7755,Green Mountain Coffee Roasters,Grocery
B005XUBMYK,16810,Natierra,Grocery
B01DS4ZFLS,37386,Tealyra,Grocery
B003OB4BOS,11845,Maruchan,Grocery
B004VLV9Q8,14447,Bob's Red Mill,Grocery
B0001ES9FI,344,Senseo,Grocery
B001F35WU4,8328,Necco,Grocery
B000O0RYPU,3845,Madelaine Chocolate Company,Grocery
B003DKUIWY,11556,Seattle Chocolates,Grocery
B0055IRNAC,15222,Anthony's,Grocery
B00099XNO2,908,Suddenly Salad,Grocery
B00MZC1LVS,30371,Hirt's Gardens,Grocery
B00OQX5V2Y,31241,Anthony's,Grocery
B000IXUK2W,2876,Kit Kat,Grocery
B00JB1TAVO,28163,Glucerna Hunger Smart,Health & Personal Care
B000TGX6M4,4653,Dean Jacob's,Grocery
B00FMBL5G0,25625,Gevalia,Grocery
B001PMGB28,9373,Bit-O-Honey,Grocery
B00E3K25M4,24427,produce aisle,Grocery
B00BG0ZJ0Y,21715,MatchaDNA,Grocery
B009MBKCHY,20150,Unknown,Grocery
B009AEK8PO,19886,Lucy's,Grocery
B00D3M2QP4,23540,KIND,Grocery
B001O8NNUG,9278,Bob's Red Mill,Grocery
B0021I6MWY,10000,Rishi Tea,Grocery
B01BIXFM46,36785,Fisher Snack,Grocery
B000H23Z1C,2501,Reily Foods,Grocery
B00CPZPYLS,23214,Carrington Farms,Grocery
B00113ZZ5U,5622,Let's Do Organic,Grocery
B0016BS3BK,6477,Ghirardelli,Grocery
B001539G56,6232,HERSHEY'S,Grocery
